rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_high_air,positioning_percent_most_back,positioning_percent_between_players,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,demo_inflicted,playstyle
grand-champion-2,20,2917749ab4df435e8f0f901de1548a1f,0.415,31.666,0.249,33.333,36.166,395.8,0.903,68.452,16.879,6.142,35.934,31.856,32.21,34.346,33.216,74.483,25.516,44.318,21.954,0.278,
grand-champion-2,20,76561198093297973,0.64,55.555,0.276,11.111,38.428,342.7,0.895,65.799,14.566,5.851,34.785,35.235,29.98,33.694,33.0,72.858,27.141,46.599,23.416,0.176,
grand-champion-2,20,76561198076351523,0.484,37.5,0.292,37.333,39.499,379.9,0.659,69.373,20.276,5.929,34.419,31.386,34.195,31.372,38.036,70.873,29.126,48.126,22.527,0.256,
grand-champion-2,20,04abd24a8af547668c405d2d717026a0,0.651,25.833,0.212,43.333,16.666,378.2,0.464,68.956,14.276,6.499,36.134,29.624,34.242,33.154,36.034,72.753,27.246,44.087,21.928,0.217,
grand-champion-2,20,76561198017390269,0.694,25.925,0.224,25.0,13.666,347.5,0.765,66.795,13.877,4.548,33.134,35.538,31.328,32.839,30.844,72.947,27.052,42.822,23.008,0.1,
grand-champion-2,20,76561198427785590,0.518,55.208,0.172,28.125,41.999,462.5,0.726,73.869,27.514,6.013,35.49,31.436,33.074,31.439,37.164,69.031,30.968,46.657,22.853,0.367,
grand-champion-2,20,76561198320228215,0.616,15.625,0.3,35.416,12.499,414.9,0.64,68.686,18.063,7.027,34.892,32.353,32.755,35.932,31.026,70.286,29.713,43.776,22.772,0.272,
grand-champion-2,20,76561198845535352,0.448,35.714,0.262,28.571,15.666,433.5,0.66,71.421,19.434,5.55,32.015,34.702,33.283,29.645,37.996,70.676,29.323,45.694,22.846,0.152,
grand-champion-2,20,Mericristmas,0.507,40.833,0.285,30.833,54.999,445.2,0.623,72.513,24.567,8.247,31.26,35.302,33.438,36.394,28.795,72.741,27.258,46.801,23.102,0.123,
grand-champion-2,20,nioh-_-1327,0.636,72.916,0.355,10.416,28.999,437.3,0.548,68.3,17.231,6.699,32.472,33.161,34.367,38.872,29.11,68.744,31.255,46.446,22.417,0.217,
grand-champion-2,20,76561198138088365,0.596,25.333,0.257,7.5,17.833,402.3,0.832,65.743,13.455,5.783,33.422,33.804,32.774,31.669,34.577,69.326,30.673,41.52,24.161,0.164,
grand-champion-2,20,6b77f506c67c4cb0bc5a52c6e667ffc1,0.432,30.952,0.232,19.047,30.0,384.6,0.62,69.399,16.037,6.62,30.902,34.052,35.046,34.93,30.354,69.169,30.83,46.438,21.693,0.236,
grand-champion-2,20,76561198357314118,0.833,44.0,0.275,25.333,33.999,456.1,1.19,68.978,17.53,5.465,31.658,32.905,35.437,34.861,32.141,71.939,28.06,41.372,24.104,0.08,
grand-champion-2,20,e4251a0f0b274744949f205ca2f53d66,0.493,40.0,0.374,22.5,25.428,377.0,0.47,65.76,14.764,7.609,37.952,30.716,31.332,35.358,33.739,76.982,23.017,50.452,19.061,0.219,
grand-champion-2,20,21ebdf680dfb4e3399a2d568b7238741,0.548,34.761,0.11,21.19,35.75,392.4,0.771,66.499,15.422,4.898,30.144,34.835,35.021,31.444,35.291,70.582,29.417,45.561,20.234,0.06,
grand-champion-2,20,76561198127231997,0.236,17.833,0.214,18.833,22.5,376.1,0.326,67.782,17.418,6.882,38.306,30.473,31.221,33.273,36.21,74.796,25.203,48.651,18.42,0.078,
grand-champion-2,20,76561198082985131,0.338,27.777,0.278,27.777,34.166,369.4,0.914,65.739,11.4,6.223,28.692,34.38,36.928,33.421,32.494,66.474,33.525,48.074,18.745,0.198,
grand-champion-2,20,76561198308753155,0.416,11.666,0.22,32.5,16.666,320.7,0.515,62.739,10.889,7.073,36.052,34.807,29.141,31.094,33.985,71.895,28.104,47.745,19.788,0.179,
grand-champion-2,20,76561198166694285,0.49,35.185,0.293,3.703,25.166,353.7,0.845,66.656,14.411,5.883,35.923,32.555,31.522,31.603,35.01,71.796,28.203,43.197,24.26,0.216,
grand-champion-2,20,76561198065191659,0.612,40.785,0.356,27.357,29.119,399.6,1.224,68.452,17.173,6.106,28.54,33.108,38.352,33.584,33.41,67.751,32.248,42.912,25.11,0.353,
grand-champion-2,20,cd8ac4349e1f4274be3146aeec1b0bfc,0.507,45.666,0.228,20.333,33.69,329.0,0.787,66.117,14.386,5.917,30.778,32.946,36.276,33.21,31.089,67.079,32.92,44.653,23.06,0.275,
grand-champion-2,20,Stocktane_,0.52,35.666,0.233,29.833,24.999,391.8,1.079,68.008,16.619,5.643,36.326,28.476,35.198,32.7,39.246,70.786,29.213,42.838,24.272,0.2,
grand-champion-2,20,76561198259081921,0.46,25.0,0.399,41.666,15.0,428.9,0.74,67.891,16.016,6.948,34.832,30.898,34.27,36.986,32.525,71.729,28.27,45.706,23.818,0.12,
grand-champion-2,20,76561198064790093,0.56,56.481,0.408,17.592,32.166,362.4,0.536,65.056,12.407,4.951,33.6,36.272,30.128,33.364,32.227,77.656,22.343,54.498,16.622,0.0,
grand-champion-1,19,76561198355993700,0.357,33.166,0.317,41.0,48.333,360.7,0.258,66.778,11.552,5.552,35.293,33.695,31.012,33.393,33.409,73.258,26.741,49.353,18.208,0.038,
grand-champion-1,19,76561198150412982,0.374,30.555,0.12,0.0,15.666,380.2,0.702,66.569,12.288,4.982,33.865,33.363,32.772,33.729,33.504,71.069,28.93,45.552,21.723,0.1,
grand-champion-1,19,76561198993576709,0.42,20.185,0.159,37.407,26.666,327.9,0.3,62.591,7.584,4.426,34.456,31.886,33.658,32.924,35.735,71.665,28.334,46.585,19.967,0.12,
grand-champion-1,19,ef5f6124076f4384b257e1359363ea91,0.67,47.0,0.373,24.833,37.333,385.7,0.607,63.095,9.929,5.65,42.424,32.073,25.503,33.081,34.54,80.768,19.231,54.252,16.179,0.137,
grand-champion-1,19,76561199020489136,0.57,31.166,0.193,30.333,27.666,362.6,0.802,63.934,10.225,6.211,29.533,31.573,38.894,34.123,36.108,69.73,30.269,44.251,21.447,0.177,
grand-champion-1,19,049b6ce3b0674ef9a817d3199ba6a285,0.356,34.444,0.193,26.296,37.5,363.3,0.698,64.643,10.671,1.975,28.285,35.244,36.471,31.95,32.017,70.068,29.931,48.092,19.328,0.259,
grand-champion-1,19,c15f18dad47541f0abfa928e150fd5a8,0.695,51.111,0.354,5.925,37.666,395.8,0.501,64.03,11.232,5.078,40.737,30.612,28.651,37.892,30.834,79.473,20.526,54.22,17.367,0.167,
grand-champion-1,19,e4ef3172311b41eea1b183c8bf653516,0.472,41.666,0.248,15.0,42.499,395.5,0.592,65.686,14.819,3.854,34.568,36.566,28.866,34.972,30.914,75.09,24.909,52.323,17.435,0.173,
grand-champion-1,19,76561199003885161,0.451,27.777,0.266,25.0,28.333,469.1,1.145,70.36,19.346,6.507,28.965,29.788,41.247,32.548,36.733,65.196,34.803,43.391,23.961,0.295,
grand-champion-1,19,76561198398342040,0.428,50.666,0.202,28.666,48.333,367.7,0.472,68.321,15.858,5.653,34.333,33.864,31.803,31.347,34.018,72.936,27.063,46.935,19.884,0.113,
grand-champion-1,19,76561198799000496,0.576,35.666,0.167,16.666,38.999,462.8,0.646,68.652,18.025,5.897,29.831,36.12,34.049,37.009,28.267,69.31,30.689,44.88,24.128,0.203,
grand-champion-1,19,0501888a5f8f47faa074e40cefe750e3,0.565,22.5,0.173,45.0,21.166,349.3,0.645,64.352,8.267,5.401,37.859,31.876,30.265,31.454,35.814,74.804,25.195,45.85,20.84,0.206,
grand-champion-1,19,08974cb1b9f547b0ba34955ebab51099,0.388,20.0,0.301,26.666,17.5,297.0,0.511,66.539,12.962,6.035,34.022,31.994,33.984,32.267,35.584,72.836,27.163,45.63,20.344,0.109,
grand-champion-1,19,76561198866234752,0.727,40.833,0.193,27.5,30.714,396.1,0.762,67.039,13.837,6.098,33.483,34.992,31.525,34.129,32.314,72.874,27.125,44.717,20.289,0.197,
grand-champion-1,19,93b2f433f8b842289f815db2332f1733,0.455,41.666,0.053,25.0,35.666,354.1,0.614,67.986,16.055,3.489,34.848,33.0,32.152,33.587,31.117,72.992,27.007,46.303,19.832,0.06,
grand-champion-1,19,5dfec608e2534f57987a0f5a1eb79e34,0.594,54.444,0.201,40.555,43.666,395.8,0.902,66.3,13.235,5.365,30.224,29.849,39.927,33.773,35.592,66.169,33.83,45.026,23.694,0.295,
grand-champion-1,19,48d922e8888a44f287ef0caad38757b3,0.462,25.925,0.211,5.555,21.666,318.8,0.499,63.73,11.664,5.01,34.73,33.163,32.107,31.536,33.496,72.058,27.941,47.964,21.886,0.219,
grand-champion-1,19,f462cffc24324401af6e02052f62436c,0.435,37.962,0.23,35.185,27.857,394.4,0.615,63.565,8.336,4.181,33.907,32.388,33.705,33.818,33.14,69.239,30.76,50.024,21.509,0.04,
grand-champion-1,19,ac6c886855434378949ae77454026d4c,0.5,58.333,0.27,14.814,59.999,367.5,0.645,64.286,12.181,5.999,31.945,34.223,33.832,37.408,28.341,71.575,28.424,50.199,19.433,0.14,
grand-champion-1,19,76561199057613970,0.462,16.666,0.184,43.333,19.0,383.4,0.836,64.978,15.906,5.508,35.23,32.473,32.297,34.556,33.731,73.887,26.112,49.195,21.693,0.19,
grand-champion-1,19,76561198158000267,0.52,47.5,0.281,21.666,46.999,352.4,0.51,65.513,11.824,6.064,32.94,34.205,32.855,36.029,33.498,71.51,28.489,44.281,22.032,0.1,
grand-champion-1,19,76561198161146400,0.479,14.166,0.319,53.0,22.5,378.6,0.796,65.782,12.369,4.549,35.083,29.873,35.044,34.893,34.424,71.505,28.494,47.099,20.818,0.218,
grand-champion-1,19,76561198016284367,0.478,21.666,0.199,4.166,18.095,254.0,0.476,58.413,6.076,4.491,35.446,33.543,31.011,28.54,35.484,70.831,29.168,45.635,21.402,0.058,
grand-champion-1,19,76561198257682914,0.539,17.592,0.188,41.666,17.0,396.0,0.852,67.356,17.087,4.514,29.689,29.971,40.34,34.549,33.602,68.617,31.382,49.547,19.644,0.224,
grand-champion-1,19,76561198847544265,0.724,44.166,0.204,18.333,27.999,409.8,0.869,68.452,15.065,6.84,29.621,36.08,34.299,35.074,31.971,71.63,28.369,42.219,24.447,0.192,
grand-champion-1,19,76561198961788304,0.49,40.833,0.113,9.166,32.999,416.1,0.82,70.339,21.438,7.411,29.614,32.711,37.675,35.75,30.854,68.852,31.147,45.636,21.677,0.235,
grand-champion-1,19,1647fb0d5f9e4df69295e942bec0d0ab,0.411,36.666,0.364,22.5,34.166,330.3,0.46,61.321,8.013,4.018,34.478,37.491,28.031,31.953,31.129,74.574,25.425,48.951,19.055,0.145,
grand-champion-1,19,76561198246676828,0.405,16.166,0.311,37.5,22.261,426.7,1.038,66.156,13.707,5.269,29.314,33.468,37.218,36.181,30.773,67.752,32.247,46.241,23.592,0.246,
grand-champion-1,19,d11f75707aaf4073aadf1f624ed5b76d,0.668,43.166,0.169,14.166,25.333,448.8,0.835,70.395,16.446,5.541,30.156,33.231,36.613,33.176,34.548,66.756,33.243,42.571,23.352,0.318,
grand-champion-1,19,e0333a66a7ce4d5195fda8a13576c7c4,0.433,35.833,0.353,18.333,45.0,458.6,0.807,67.395,13.695,6.588,30.401,35.662,33.937,32.1,36.231,70.439,29.56,43.88,22.102,0.06,
champion-3,18,76561198005417690,0.539,22.0,0.24,29.0,21.666,337.8,0.68,61.347,7.277,5.249,35.499,33.368,31.133,32.361,35.467,75.645,24.354,49.864,19.421,0.16,
champion-3,18,RAMPAGEx14x,0.457,32.407,0.216,44.814,34.999,334.5,0.695,63.408,7.934,6.187,27.65,34.739,37.611,33.264,32.209,65.29,34.709,45.777,23.63,0.199,
champion-3,18,06f20652f3010900,0.62,52.777,0.159,12.962,42.333,387.7,0.6,65.695,12.255,3.95,35.506,35.826,28.668,32.133,32.432,71.489,28.51,44.654,22.037,0.16,
champion-3,18,43ebbcd7f53e46938fd8418d132847b6,0.62,53.703,0.1,13.888,35.666,352.3,0.64,64.352,9.432,4.613,28.135,36.773,35.092,34.262,29.372,68.454,31.545,42.691,21.992,0.24,
champion-3,18,76561199081766312,0.44,26.851,0.179,18.518,15.333,503.6,1.16,72.586,23.596,6.251,34.121,28.678,37.201,32.937,38.138,69.678,30.321,46.139,23.032,0.3,
