index,rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,demo_inflicted,playstyle
58,grand-champion-3,21,37589e469be84a848ca150fbe5b4866d,0.46,36.111,0.214,2.777,24.166,382.2,0.775,66.491,14.308,51.731,7.413,34.518,32.493,32.27,33.614,71.507,28.492,48.067,20.114,0.293,
59,grand-champion-3,21,7.66E+16,0.747,38.333,0.139,35,17.666,390.3,0.915,68.313,15.254,51.021,8.291,29.21,37.323,33.061,34.52,67.263,32.736,45.805,23.585,0.39,
60,grand-champion-3,21,7.66E+16,0.765,61.666,0.289,15,39.357,442.2,0.782,70.686,20.829,53.219,5.954,33.581,35.058,32.752,36.303,71.449,28.55,43.979,23.908,0.148,
61,grand-champion-2,20,7.66E+16,0.666,65,0.275,13.333,44.333,401.6,0.693,70.986,21.488,51.374,7.709,36.026,32.142,33.265,32.886,73.415,26.584,49.708,19.355,0.08,
62,grand-champion-2,20,7.66E+16,0.297,10.833,0.265,31.666,15.833,359.7,0.813,68.2,18.053,53.906,7.071,31.712,35.709,34.913,34.191,68.685,31.314,49.845,21.198,0.14,
63,grand-champion-2,20,7.66E+16,0.851,54.166,0.336,27.5,34.499,430.5,0.875,72.495,25.267,52.515,6.368,31.299,35.999,36.266,30.416,71.959,28.04,47.188,22.196,0.531,
64,grand-champion-2,20,7.66E+16,0.434,32.5,0.379,41.666,33.999,370.7,0.731,66.969,13.874,58.925,7.355,32.005,33.704,32.479,34.174,71.952,28.047,47.029,20.335,0.318,
65,grand-champion-2,20,7.66E+16,0.426,37.5,0.412,10.833,31.666,365.7,0.526,65.282,13.462,54.037,4.961,33.452,30.832,34.631,30.385,74.619,25.38,54.508,17.663,0.093,
66,grand-champion-2,20,ee458ee713cd4d8e8f416c8d235924b6,0.457,30.952,0.199,39.285,24.833,463.7,0.991,71.682,20.892,50.166,9.251,30.736,40.064,34.029,35.315,65.398,34.601,40.14,25.829,0.2,
67,grand-champion-2,20,2917749ab4df435e8f0f901de1548a1f,0.415,31.666,0.249,33.333,36.166,395.8,0.903,68.452,16.879,53.744,6.142,35.934,32.21,34.346,33.216,74.483,25.516,44.318,21.954,0.278,
68,grand-champion-2,20,7.66E+16,0.64,55.555,0.276,11.111,38.428,342.7,0.895,65.799,14.566,58.31,5.851,34.785,29.98,33.694,33,72.858,27.141,46.599,23.416,0.176,
69,grand-champion-2,20,7.66E+16,0.484,37.5,0.292,37.333,39.499,379.9,0.659,69.373,20.276,53.249,5.929,34.419,34.195,31.372,38.036,70.873,29.126,48.126,22.527,0.256,
70,grand-champion-2,20,04abd24a8af547668c405d2d717026a0,0.651,25.833,0.212,43.333,16.666,378.2,0.464,68.956,14.276,52.731,6.499,36.134,34.242,33.154,36.034,72.753,27.246,44.087,21.928,0.217,
71,grand-champion-2,20,7.66E+16,0.694,25.925,0.224,25,13.666,347.5,0.765,66.795,13.877,57.853,4.548,33.134,31.328,32.839,30.844,72.947,27.052,42.822,23.008,0.1,
72,grand-champion-2,20,7.66E+16,0.518,55.208,0.172,28.125,41.999,462.5,0.726,73.869,27.514,52.962,6.013,35.49,33.074,31.439,37.164,69.031,30.968,46.657,22.853,0.367,
73,grand-champion-2,20,7.66E+16,0.616,15.625,0.3,35.416,12.499,414.9,0.64,68.686,18.063,50.166,7.027,34.892,32.755,35.932,31.026,70.286,29.713,43.776,22.772,0.272,
74,grand-champion-2,20,7.66E+16,0.448,35.714,0.262,28.571,15.666,433.5,0.66,71.421,19.434,56.676,5.55,32.015,33.283,29.645,37.996,70.676,29.323,45.694,22.846,0.152,
75,grand-champion-2,20,Mericristmas,0.507,40.833,0.285,30.833,54.999,445.2,0.623,72.513,24.567,49.699,8.247,31.26,33.438,36.394,28.795,72.741,27.258,46.801,23.102,0.123,
76,grand-champion-2,20,nioh-_-1327,0.636,72.916,0.355,10.416,28.999,437.3,0.548,68.3,17.231,52.427,6.699,32.472,34.367,38.872,29.11,68.744,31.255,46.446,22.417,0.217,
77,grand-champion-2,20,7.66E+16,0.596,25.333,0.257,7.5,17.833,402.3,0.832,65.743,13.455,55.133,5.783,33.422,32.774,31.669,34.577,69.326,30.673,41.52,24.161,0.164,
78,grand-champion-2,20,6b77f506c67c4cb0bc5a52c6e667ffc1,0.432,30.952,0.232,19.047,30,384.6,0.62,69.399,16.037,51.931,6.62,30.902,35.046,34.93,30.354,69.169,30.83,46.438,21.693,0.236,
79,grand-champion-2,20,7.66E+16,0.833,44,0.275,25.333,33.999,456.1,1.19,68.978,17.53,53.691,5.465,31.658,35.437,34.861,32.141,71.939,28.06,41.372,24.104,0.08,
80,grand-champion-2,20,e4251a0f0b274744949f205ca2f53d66,0.493,40,0.374,22.5,25.428,377,0.47,65.76,14.764,47.879,7.609,37.952,31.332,35.358,33.739,76.982,23.017,50.452,19.061,0.219,
81,grand-champion-2,20,21ebdf680dfb4e3399a2d568b7238741,0.548,34.761,0.11,21.19,35.75,392.4,0.771,66.499,15.422,59.877,4.898,30.144,35.021,31.444,35.291,70.582,29.417,45.561,20.234,0.06,
82,grand-champion-2,20,7.66E+16,0.236,17.833,0.214,18.833,22.5,376.1,0.326,67.782,17.418,49.549,6.882,38.306,31.221,33.273,36.21,74.796,25.203,48.651,18.42,0.078,
83,grand-champion-2,20,7.66E+16,0.338,27.777,0.278,27.777,34.166,369.4,0.914,65.739,11.4,57.131,6.223,28.692,36.928,33.421,32.494,66.474,33.525,48.074,18.745,0.198,
84,grand-champion-2,20,7.66E+16,0.416,11.666,0.22,32.5,16.666,320.7,0.515,62.739,10.889,55.886,7.073,36.052,29.141,31.094,33.985,71.895,28.104,47.745,19.788,0.179,
85,grand-champion-2,20,7.66E+16,0.49,35.185,0.293,3.703,25.166,353.7,0.845,66.656,14.411,57.569,5.883,35.923,31.522,31.603,35.01,71.796,28.203,43.197,24.26,0.216,
